[20:38:05] [INFO] received Windows console close event; shutting log-core down
[20:45:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:01:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:08:06] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:55:29] [INFO] received Windows console close event; shutting log-core down
[23:15:07] [INFO] received Windows console close event; shutting log-core down
[01:17:00] [INFO] received Windows console close event; shutting log-core down
[10:36:52] [INFO] received Windows console close event; shutting log-core down
[10:37:29] [INFO] received Windows console close event; shutting log-core down
[10:38:01] [INFO] received Windows console close event; shutting log-core down
[10:42:55] [INFO] received Windows console close event; shutting log-core down
[10:45:15] [INFO] received Windows console close event; shutting log-core down
[10:46:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10:48:03] [INFO] received Windows console close event; shutting log-core down
[18:58:08] [INFO] received Windows console close event; shutting log-core down
[19:20:46] [INFO] received Windows console close event; shutting log-core down
[19:28:27] [INFO] received Windows console close event; shutting log-core down
[19:32:15] [INFO] received Windows console close event; shutting log-core down
[21:08:14] [INFO] received Windows console close event; shutting log-core down
[21:18:18] [INFO] received Windows console close event; shutting log-core down
[21:19:07] [INFO] received Windows console close event; shutting log-core down
[21:21:17] [INFO] received Windows console close event; shutting log-core down
[21:38:59] [INFO] received Windows console close event; shutting log-core down
[21:56:57] [INFO] received Windows console close event; shutting log-core down
[22:03:18] [INFO] received Windows console close event; shutting log-core down
[22:10:24] [INFO] received Windows console close event; shutting log-core down
[22:22:07] [INFO] received Windows console close event; shutting log-core down
[22:28:37] [INFO] received Windows console close event; shutting log-core down
[22:42:19] [INFO] received Windows console close event; shutting log-core down
[22:45:05] [INFO] received Windows console close event; shutting log-core down
[22:46:01] [INFO] received Windows console close event; shutting log-core down
[22:56:17] [INFO] received Windows console close event; shutting log-core down
[23:09:37] [INFO] received Windows console close event; shutting log-core down
[23:10:46] [INFO] received Windows console close event; shutting log-core down
[23:11:54] [INFO] received Windows console close event; shutting log-core down
[23:12:33] [INFO] received Windows console close event; shutting log-core down
[23:21:01] [INFO] received Windows console close event; shutting log-core down
[02:26:23] [INFO] received Windows console close event; shutting log-core down
[06:05:52] [INFO] received Windows console close event; shutting log-core down
[06:17:58] [INFO] received Windows console close event; shutting log-core down
[08:43:10] [INFO] received Windows console close event; shutting log-core down
[08:43:47] [INFO] received Windows console close event; shutting log-core down
[08:47:18] [INFO] received Windows console close event; shutting log-core down
[08:55:03] [INFO] received Windows console close event; shutting log-core down
[16:58:08] [INFO] received Windows console close event; shutting log-core down
[07:23:20] [INFO] received Windows console close event; shutting log-core down
[08:53:40] [INFO] received Windows console close event; shutting log-core down
[08:55:19] [INFO] received Windows console close event; shutting log-core down
[09:33:34] [INFO] received Windows console close event; shutting log-core down
[09:44:52] [INFO] received Windows console close event; shutting log-core down
[09:46:47] [INFO] received Windows console close event; shutting log-core down
[09:47:34] [INFO] received Windows console close event; shutting log-core down
